node_id,longitude,latitude,gdp,pop,public_administration_services,utility_land,commercial_services,residential_land,industrial_land,green_square_land,road_transportation_land
58,121.3823319,30.77663611,448.6714897,1377,0.111111111,0,0.055555556,0.777777778,0.055555556,0,0
59,121.4002982,30.77663611,45.82584381,1426,0.166666667,0,0,0.5,0.333333333,0,0
60,121.4182645,30.77663611,0,3486,0.230769231,0,0,0.307692308,0.461538462,0,0
61,121.4362308,30.77663611,0,3595,0,0,0,0,1,0,0
62,121.4541971,30.77663611,0,1844,0.333333333,0,0,0,0.333333333,0,0.333333333
63,121.4721635,30.77663611,0,62,0,0,0,0,0,0,0
64,121.1128373,30.79207096,0,15,0,0,0,0,1,0,0
65,121.1308036,30.79207096,29.83846188,1168,0,0,0,0,0,0,1
66,121.1487699,30.79207096,31.87411582,2034,0.133333333,0,0,0.066666667,0.133333333,0.333333333,0.266666667
67,121.1667363,30.79207096,73.2985096,2627,0.222222222,0,0,0.111111111,0,0.222222222,0.444444444
68,121.1847026,30.79207096,1078.328657,17615,0.275862069,0,0.206896552,0.206896552,0.137931034,0.034482759,0
69,121.2026689,30.79207096,400.3120728,8544,0,0,0.047619048,0.238095238,0.666666667,0,0.047619048
70,121.2206352,30.79207096,420.7308788,1681,0,0,0.058823529,0.823529412,0.058823529,0.058823529,0
71,121.2386015,30.79207096,49.09957504,1981,0,0,0,0.5,0.142857143,0.142857143,0.214285714
72,121.2565678,30.79207096,142.3673363,3889,0,0,0.019607843,0.156862745,0.764705882,0,0.039215686
73,121.2745341,30.79207096,164.1444645,3731,0.175257732,0.010309278,0.216494845,0.144329897,0.381443299,0.010309278,0.030927835
74,121.2925004,30.79207096,634.9499168,2482,0.03030303,0,0.060606061,0.272727273,0.272727273,0.121212121,0.242424242
75,121.3104667,30.79207096,42.95275879,1924,0.098360656,0.032786885,0.163934426,0.262295082,0.295081967,0.016393443,0.049180328
76,121.328433,30.79207096,1023.102346,2302,0.029411765,0.029411765,0.235294118,0.235294118,0.323529412,0.088235294,0.058823529
77,121.3463993,30.79207096,98.39797592,3112,0.076923077,0,0.115384615,0.346153846,0.269230769,0.076923077,0.038461538
78,121.3643656,30.79207096,1209.297073,6752,0.069767442,0,0,0.302325581,0.604651163,0,0.023255814
79,121.3823319,30.79207096,473.8332443,2839,0.304878049,0,0.182926829,0.170731707,0.219512195,0.012195122,0.073170732
80,121.4002982,30.79207096,114.0627937,5396,0.240196078,0.009803922,0.352941176,0.156862745,0.110294118,0.007352941,0.075980392
81,121.4182645,30.79207096,1407.992439,12233,0.159090909,0.002840909,0.417613636,0.090909091,0.161931818,0.017045455,0.065340909
82,121.4362308,30.79207096,0,2753,0.090909091,0,0.090909091,0.090909091,0.727272727,0,0
83,121.4541971,30.79207096,0,2943,0.125,0,0.083333333,0,0.791666667,0,0
84,121.4721635,30.79207096,0,2611,0.090909091,0,0,0,0.909090909,0,0
85,121.4901298,30.79207096,0,301,0,0,0,0,0,0,0
86,121.1308036,30.80750333,14.95113087,871,0.368421053,0.052631579,0.263157895,0,0,0.052631579,0.210526316
